Date : 2024-10-29 12:06:09
Directory : d:\FULearning\fall24\2_PRN231\2_PRN231\eShoep\src
Total : 690 files,  215718 codes, 11275 comments, 35175 blanks, all 262168 lines

Languages
+---------------+------------+------------+------------+------------+------------+
| language      | files      | code       | comment    | blank      | total      |
| Common\Common.Messaging\bin                                                                                                                                                                                                                                    |          1 |        307 |          0 |          0 |        307 |
| Common\Common.Messaging\bin\Debug                                                                                                                                                                                                                              |          1 |        307 |          0 |          0 |        307 |
| Common\Common.Messaging\bin\Debug\net8.0                                                                                                                                                                                                                       |          1 |        307 |          0 |          0 |        307 |
| Common\Common.Messaging\obj                                                                                                                                                                                                                                    |         10 |      1,009 |         11 |          8 |      1,028 |
| Common\Common.Messaging\obj (Files)                                                                                                                                                                                                                            |          5 |        976 |          0 |          0 |        976 |
| Common\Common.Messaging\obj\Debug                                                                                                                                                                                                                              |          5 |         33 |         11 |          8 |         52 |
| Common\Common.Messaging\obj\Debug\net8.0                                                                                                                                                                                                                       |          5 |         33 |         11 |          8 |         52 |
| Common\Common\Behaviors                                                                                                                                                                                                                                        |          2 |         46 |          0 |         13 |         59 |
| Common\Common\CQRS                                                                                                                                                                                                                                             |          4 |         35 |          0 |         10 |         45 |
| Common\Common\Exceptions                                                                                                                                                                                                                                       |          4 |         90 |          0 |         15 |        105 |
| Common\Common\Pagination                                                                                                                                                                                                                                       |          2 |         11 |          0 |          2 |         13 |
| Common\Common\bin                                                                                                                                                                                                                                              |          1 |        324 |          0 |          0 |        324 |
| Common\Common\bin\Debug                                                                                                                                                                                                                                        |          1 |        324 |          0 |          0 |        324 |
| Common\Common\bin\Debug\net8.0                                                                                                                                                                                                                                 |          1 |        324 |          0 |          0 |        324 |
| Common\Common\obj                                                                                                                                                                                                                                              |         10 |        930 |         11 |          8 |        949 |
| Common\Common\obj (Files)                                                                                                                                                                                                                                      |          5 |        897 |          0 |          0 |        897 |
| Common\Common\obj\Debug                                                                                                                                                                                                                                        |          5 |         33 |         11 |          8 |         52 |
| Common\Common\obj\Debug\net8.0                                                                                                                                                                                                                                 |          5 |         33 |         11 |          8 |         52 |
| Gateway                                                                                                                                                                                                                                                        |         26 |        906 |         14 |         25 |        945 |
| Gateway\ApiGateWay                                                                                                                                                                                                                                             |         26 |        906 |         14 |         25 |        945 |
| Gateway\ApiGateWay (Files)                                                                                                                                                                                                                                     |          6 |        208 |          3 |         17 |        228 |
| Gateway\ApiGateWay\Properties                                                                                                                                                                                                                                  |          1 |         45 |          0 |          0 |         45 |
| Gateway\ApiGateWay\bin                                                                                                                                                                                                                                         |          5 |        211 |          0 |          0 |        211 |
| Gateway\ApiGateWay\bin\Debug                                                                                                                                                                                                                                   |          5 |        211 |          0 |          0 |        211 |
| Gateway\ApiGateWay\bin\Debug\net8.0                                                                                                                                                                                                                            |          5 |        211 |          0 |          0 |        211 |
| Gateway\ApiGateWay\obj                                                                                                                                                                                                                                         |         14 |        442 |         11 |          8 |        461 |
| Gateway\ApiGateWay\obj (Files)                                                                                                                                                                                                                                 |          5 |        373 |          0 |          0 |        373 |
| Gateway\ApiGateWay\obj\Debug                                                                                                                                                                                                                                   |          9 |         69 |         11 |          8 |         88 |
| Gateway\ApiGateWay\obj\Debug\net8.0                                                                                                                                                                                                                            |          9 |         69 |         11 |          8 |         88 |
| Gateway\ApiGateWay\obj\Debug\net8.0 (Files)                                                                                                                                                                                                                    |          6 |         60 |         11 |          8 |         79 |
| Gateway\ApiGateWay\obj\Debug\net8.0\staticwebassets                                                                                                                                                                                                            |          3 |          9 |          0 |          0 |          9 |
| Services                                                                                                                                                                                                                                                       |        427 |    107,372 |      6,066 |     13,357 |    126,795 |
| Services\Basket                                                                                                                                                                                                                                                |         43 |     10,256 |        155 |        315 |     10,726 |
| Services\Basket\Basket.API                                                                                                                                                                                                                                     |         43 |     10,256 |        155 |        315 |     10,726 |
| Services\Basket\Basket.API (Files)                                                                                                                                                                                                                             |          6 |        143 |          9 |         26 |        178 |
| Services\Basket\Basket.API\Basket                                                                                                                                                                                                                              |          8 |        180 |          0 |         49 |        229 |
| Services\Basket\Basket.API\Basket\CheckoutCart                                                                                                                                                                                                                 |          2 |         51 |          0 |         16 |         67 |
| Services\Basket\Basket.API\Basket\DeleteCart                                                                                                                                                                                                                   |          2 |         40 |          0 |         10 |         50 |
| Services\Basket\Basket.API\Basket\GetCart                                                                                                                                                                                                                      |          2 |         32 |          0 |          9 |         41 |
| Services\Basket\Basket.API\Basket\StoreCart                                                                                                                                                                                                                    |          2 |         57 |          0 |         14 |         71 |
| Services\Basket\Basket.API\Dtos                                                                                                                                                                                                                                |          1 |         19 |          2 |          3 |         24 |
| Services\Basket\Basket.API\Exceptions                                                                                                                                                                                                                          |          1 |          7 |          0 |          1 |          8 |
| Services\Basket\Basket.API\Models                                                                                                                                                                                                                              |          2 |         22 |          1 |          4 |         27 |
| Services\Basket\Basket.API\Properties                                                                                                                                                                                                                          |          1 |         38 |          0 |          1 |         39 |
| Services\Basket\Basket.API\Repository                                                                                                                                                                                                                          |          3 |         57 |          0 |         14 |         71 |
| Services\Basket\Basket.API\bin                                                                                                                                                                                                                                 |          4 |      1,975 |          0 |          2 |      1,977 |
| Services\Basket\Basket.API\bin\Debug                                                                                                                                                                                                                           |          4 |      1,975 |          0 |          2 |      1,977 |
| Services\Basket\Basket.API\bin\Debug\net8.0                                                                                                                                                                                                                    |          4 |      1,975 |          0 |          2 |      1,977 |
| Services\Basket\Basket.API\obj                                                                                                                                                                                                                                 |         17 |      7,815 |        143 |        215 |      8,173 |
| Services\Basket\Basket.API\obj (Files)                                                                                                                                                                                                                         |          5 |      5,625 |          0 |          0 |      5,625 |
| Services\Basket\Basket.API\obj\Debug                                                                                                                                                                                                                           |         12 |      2,190 |        143 |        215 |      2,548 |
| Services\Basket\Basket.API\obj\Debug\net8.0                                                                                                                                                                                                                    |         12 |      2,190 |        143 |        215 |      2,548 |
| Services\Basket\Basket.API\obj\Debug\net8.0 (Files)                                                                                                                                                                                                            |          9 |      2,181 |        143 |        215 |      2,539 |
| Services\Basket\Basket.API\obj\Debug\net8.0\staticwebassets                                                                                                                                                                                                    |          3 |          9 |          0 |          0 |          9 |
| Services\Catalog                                                                                                                                                                                                                                               |         42 |      7,042 |         28 |        142 |      7,212 |
| Services\Catalog\Catalog.API                                                                                                                                                                                                                                   |         42 |      7,042 |         28 |        142 |      7,212 |
| Services\Catalog\Catalog.API (Files)                                                                                                                                                                                                                           |          6 |        102 |          1 |         26 |        129 |
| Services\Catalog\Catalog.API\Data                                                                                                                                                                                                                              |          1 |        179 |          7 |         15 |        201 |
| Services\Catalog\Catalog.API\Dtos                                                                                                                                                                                                                              |          1 |         14 |          0 |          1 |         15 |
| Services\Catalog\Catalog.API\Exceptions                                                                                                                                                                                                                        |          1 |          8 |          0 |          2 |         10 |
| Services\Catalog\Catalog.API\Models                                                                                                                                                                                                                            |          3 |         28 |          0 |          3 |         31 |
| Services\Catalog\Catalog.API\Products                                                                                                                                                                                                                          |         10 |        332 |          0 |         79 |        411 |
| Services\Catalog\Catalog.API\Products\CreateProduct                                                                                                                                                                                                            |          2 |         69 |          0 |         14 |         83 |
| Services\Catalog\Catalog.API\Products\DeleteProduct                                                                                                                                                                                                            |          2 |         40 |          0 |          9 |         49 |
| Services\Catalog\Catalog.API\Products\GetProductById                                                                                                                                                                                                           |          2 |         40 |          0 |         16 |         56 |
| Services\Catalog\Catalog.API\Products\GetProducts                                                                                                                                                                                                              |          2 |         98 |          0 |         19 |        117 |
| Services\Catalog\Catalog.API\Products\UpdateProduct                                                                                                                                                                                                            |          2 |         85 |          0 |         21 |        106 |
| Services\Catalog\Catalog.API\Properties                                                                                                                                                                                                                        |          1 |         49 |          0 |          1 |         50 |
| Services\Catalog\Catalog.API\bin                                                                                                                                                                                                                               |          4 |      1,583 |          0 |          2 |      1,585 |
| Services\Catalog\Catalog.API\bin\Debug                                                                                                                                                                                                                         |          4 |      1,583 |          0 |          2 |      1,585 |
| Services\Catalog\Catalog.API\bin\Debug\net8.0                                                                                                                                                                                                                  |          4 |      1,583 |          0 |          2 |      1,585 |
| Services\Catalog\Catalog.API\obj                                                                                                                                                                                                                               |         15 |      4,747 |         20 |         13 |      4,780 |
| Services\Catalog\Catalog.API\obj (Files)                                                                                                                                                                                                                       |          5 |      4,666 |          0 |          0 |      4,666 |
| Services\Catalog\Catalog.API\obj\Debug                                                                                                                                                                                                                         |         10 |         81 |         20 |         13 |        114 |
| Services\Catalog\Catalog.API\obj\Debug\net8.0                                                                                                                                                                                                                  |         10 |         81 |         20 |         13 |        114 |
| Services\Catalog\Catalog.API\obj\Debug\net8.0 (Files)                                                                                                                                                                                                          |          7 |         72 |         20 |         13 |        105 |
| Services\Catalog\Catalog.API\obj\Debug\net8.0\staticwebassets                                                                                                                                                                                                  |          3 |          9 |          0 |          0 |          9 |
| Services\Identity                                                                                                                                                                                                                                              |        137 |     55,565 |      5,499 |     11,752 |     72,816 |
| Services\Identity\Identity.API                                                                                                                                                                                                                                 |        137 |     55,565 |      5,499 |     11,752 |     72,816 |
| Services\Identity\Identity.API (Files)                                                                                                                                                                                                                         |          9 |        282 |          2 |         50 |        334 |
| Services\Identity\Identity.API\Data                                                                                                                                                                                                                            |          4 |        610 |          9 |        160 |        779 |
| Services\Identity\Identity.API\Data (Files)                                                                                                                                                                                                                    |          1 |         15 |          3 |          3 |         21 |
| Services\Identity\Identity.API\Data\Migrations                                                                                                                                                                                                                 |          3 |        595 |          6 |        157 |        758 |
| Services\Identity\Identity.API\Models                                                                                                                                                                                                                          |          1 |          5 |          3 |          4 |         12 |
| Services\Identity\Identity.API\Pages                                                                                                                                                                                                                           |         69 |      2,919 |        264 |        505 |      3,688 |
| Services\Identity\Identity.API\Pages (Files)                                                                                                                                                                                                                   |          9 |        294 |         96 |         62 |        452 |
| Services\Identity\Identity.API\Pages\Account                                                                                                                                                                                                                   |         16 |        533 |         56 |        126 |        715 |
| Services\Identity\Identity.API\Pages\Account (Files)                                                                                                                                                                                                           |          2 |         18 |          2 |          3 |         23 |
| Services\Identity\Identity.API\Pages\Account\Login                                                                                                                                                                                                             |          5 |        264 |         27 |         59 |        350 |
| Services\Identity\Identity.API\Pages\Account\Logout                                                                                                                                                                                                            |          6 |        144 |         27 |         37 |        208 |
| Services\Identity\Identity.API\Pages\Account\Register                                                                                                                                                                                                          |          3 |        107 |          0 |         27 |        134 |
| Services\Identity\Identity.API\Pages\Ciba                                                                                                                                                                                                                      |         10 |        493 |         20 |         71 |        584 |
| Services\Identity\Identity.API\Pages\Consent                                                                                                                                                                                                                   |          6 |        380 |         19 |         52 |        451 |
| Services\Identity\Identity.API\Pages\Device                                                                                                                                                                                                                    |          8 |        408 |         21 |         56 |        485 |
| Services\Identity\Identity.API\Pages\Diagnostics                                                                                                                                                                                                               |          3 |        107 |          4 |         16 |        127 |
| Services\Identity\Identity.API\Pages\ExternalLogin                                                                                                                                                                                                             |          4 |        191 |         34 |         47 |        272 |
| Services\Identity\Identity.API\Pages\Grants                                                                                                                                                                                                                    |          3 |        169 |          4 |         20 |        193 |
| Services\Identity\Identity.API\Pages\Home                                                                                                                                                                                                                      |          3 |         70 |          6 |         17 |         93 |
| Services\Identity\Identity.API\Pages\Home\Error                                                                                                                                                                                                                |          3 |         70 |          6 |         17 |         93 |
| Services\Identity\Identity.API\Pages\Redirect                                                                                                                                                                                                                  |          2 |         27 |          2 |          7 |         36 |
| Services\Identity\Identity.API\Pages\ServerSideSessions                                                                                                                                                                                                        |          2 |        188 |          2 |         20 |        210 |
| Services\Identity\Identity.API\Pages\Shared                                                                                                                                                                                                                    |          3 |         59 |          0 |         11 |         70 |
| Services\Identity\Identity.API\Properties                                                                                                                                                                                                                      |          1 |         23 |          0 |          0 |         23 |
| Services\Identity\Identity.API\Services                                                                                                                                                                                                                        |          1 |         26 |          0 |          6 |         32 |
| Services\Identity\Identity.API\bin                                                                                                                                                                                                                             |          5 |      1,769 |          0 |          0 |      1,769 |
| Services\Identity\Identity.API\bin\Debug                                                                                                                                                                                                                       |          5 |      1,769 |          0 |          0 |      1,769 |
| Services\Identity\Identity.API\bin\Debug\net8.0                                                                                                                                                                                                                |          5 |      1,769 |          0 |          0 |      1,769 |
| Services\Identity\Identity.API\obj                                                                                                                                                                                                                             |         19 |      7,844 |         29 |         45 |      7,918 |
| Services\Identity\Identity.API\obj (Files)                                                                                                                                                                                                                     |          5 |      4,639 |          0 |          0 |      4,639 |
| Services\Identity\Identity.API\obj\Debug                                                                                                                                                                                                                       |         14 |      3,205 |         29 |         45 |      3,279 |
| Services\Identity\Identity.API\obj\Debug\net8.0                                                                                                                                                                                                                |         14 |      3,205 |         29 |         45 |      3,279 |
| Services\Identity\Identity.API\obj\Debug\net8.0 (Files)                                                                                                                                                                                                        |         10 |      2,424 |         29 |         45 |      2,498 |
| Services\Identity\Identity.API\obj\Debug\net8.0\staticwebassets                                                                                                                                                                                                |          4 |        781 |          0 |          0 |        781 |
