Date : 2024-10-29 12:06:09
Directory : d:\FULearning\fall24\2_PRN231\2_PRN231\eShoep\src
Total : 690 files,  215718 codes, 11275 comments, 35175 blanks, all 262168 lines

Languages
+---------------+------------+------------+------------+------------+------------+
| language      | files      | code       | comment    | blank      | total      |
| d:\FULearning\fall24\2_PRN231\2_PRN231\eShoep\src\Services\Identity\Identity.API\Pages\ExternalLogin\Callback.cshtml                                                                                                                                           | ASP.NET Razor |         15 |          0 |          4 |         19 |
| d:\FULearning\fall24\2_PRN231\2_PRN231\eShoep\src\Services\Identity\Identity.API\Pages\ExternalLogin\Callback.cshtml.cs                                                                                                                                        | C#            |        129 |         29 |         30 |        188 |
| d:\FULearning\fall24\2_PRN231\2_PRN231\eShoep\src\Services\Identity\Identity.API\Pages\ExternalLogin\Challenge.cshtml                                                                                                                                          | ASP.NET Razor |         15 |          0 |          4 |         19 |
| d:\FULearning\fall24\2_PRN231\2_PRN231\eShoep\src\Services\Identity\Identity.API\Pages\ExternalLogin\Challenge.cshtml.cs                                                                                                                                       | C#            |         32 |          5 |          9 |         46 |
| d:\FULearning\fall24\2_PRN231\2_PRN231\eShoep\src\Services\Identity\Identity.API\Pages\Grants\Index.cshtml                                                                                                                                                     | ASP.NET Razor |         86 |          0 |          4 |         90 |
| d:\FULearning\fall24\2_PRN231\2_PRN231\eShoep\src\Services\Identity\Identity.API\Pages\Grants\Index.cshtml.cs                                                                                                                                                  | C#            |         66 |          2 |         13 |         81 |
| d:\FULearning\fall24\2_PRN231\2_PRN231\eShoep\src\Services\Identity\Identity.API\Pages\Grants\ViewModel.cs                                                                                                                                                     | C#            |         17 |          2 |          3 |         22 |
| d:\FULearning\fall24\2_PRN231\2_PRN231\eShoep\src\Services\Identity\Identity.API\Pages\Home\Error\Index.cshtml                                                                                                                                                 | ASP.NET Razor |         30 |          0 |          5 |         35 |
| d:\FULearning\fall24\2_PRN231\2_PRN231\eShoep\src\Services\Identity\Identity.API\Pages\Home\Error\Index.cshtml.cs                                                                                                                                              | C#            |         27 |          4 |          7 |         38 |
| d:\FULearning\fall24\2_PRN231\2_PRN231\eShoep\src\Services\Identity\Identity.API\Pages\Home\Error\ViewModel.cs                                                                                                                                                 | C#            |         13 |          2 |          5 |         20 |
| d:\FULearning\fall24\2_PRN231\2_PRN231\eShoep\src\Services\Identity\Identity.API\Pages\IdentityServerSuppressions.cs                                                                                                                                           | C#            |         37 |          8 |          4 |         49 |
| d:\FULearning\fall24\2_PRN231\2_PRN231\eShoep\src\Services\Identity\Identity.API\Pages\Index.cshtml                                                                                                                                                            | ASP.NET Razor |         43 |          0 |          3 |         46 |
| d:\FULearning\fall24\2_PRN231\2_PRN231\eShoep\src\Services\Identity\Identity.API\Pages\Index.cshtml.cs                                                                                                                                                         | C#            |         20 |          2 |          5 |         27 |
| d:\FULearning\fall24\2_PRN231\2_PRN231\eShoep\src\Services\Identity\Identity.API\Pages\Log.cs                                                                                                                                                                  | C#            |         60 |         11 |         15 |         86 |
| d:\FULearning\fall24\2_PRN231\2_PRN231\eShoep\src\Services\Identity\Identity.API\Pages\Redirect\Index.cshtml                                                                                                                                                   | ASP.NET Razor |         12 |          0 |          2 |         14 |
| d:\FULearning\fall24\2_PRN231\2_PRN231\eShoep\src\Services\Identity\Identity.API\Pages\Redirect\Index.cshtml.cs                                                                                                                                                | C#            |         15 |          2 |          5 |         22 |
| d:\FULearning\fall24\2_PRN231\2_PRN231\eShoep\src\Services\Identity\Identity.API\Pages\SecurityHeadersAttribute.cs                                                                                                                                             | C#            |         27 |         12 |          8 |         47 |
| d:\FULearning\fall24\2_PRN231\2_PRN231\eShoep\src\Services\Identity\Identity.API\Pages\ServerSideSessions\Index.cshtml                                                                                                                                         | ASP.NET Razor |        145 |          0 |          6 |        151 |
| d:\FULearning\fall24\2_PRN231\2_PRN231\eShoep\src\Services\Identity\Identity.API\Pages\ServerSideSessions\Index.cshtml.cs                                                                                                                                      | C#            |         43 |          2 |         14 |         59 |
| d:\FULearning\fall24\2_PRN231\2_PRN231\eShoep\src\Services\Identity\Identity.API\Pages\Shared\_Layout.cshtml                                                                                                                                                   | ASP.NET Razor |         23 |          0 |          6 |         29 |
| d:\FULearning\fall24\2_PRN231\2_PRN231\eShoep\src\Services\Identity\Identity.API\Pages\Shared\_Nav.cshtml                                                                                                                                                      | ASP.NET Razor |         29 |          0 |          5 |         34 |
| d:\FULearning\fall24\2_PRN231\2_PRN231\eShoep\src\Services\Identity\Identity.API\Pages\Shared\_ValidationSummary.cshtml                                                                                                                                        | ASP.NET Razor |          7 |          0 |          0 |          7 |
| d:\FULearning\fall24\2_PRN231\2_PRN231\eShoep\src\Services\Identity\Identity.API\Pages\Telemetry.cs                                                                                                                                                            | C#            |         77 |         52 |         21 |        150 |
| d:\FULearning\fall24\2_PRN231\2_PRN231\eShoep\src\Services\Identity\Identity.API\Pages\_ViewImports.cshtml                                                                                                                                                     | ASP.NET Razor |          2 |          0 |          0 |          2 |
| d:\FULearning\fall24\2_PRN231\2_PRN231\eShoep\src\Services\Identity\Identity.API\Pages\_ViewStart.cshtml                                                                                                                                                       | ASP.NET Razor |          3 |          0 |          0 |          3 |
| d:\FULearning\fall24\2_PRN231\2_PRN231\eShoep\src\Services\Identity\Identity.API\Program.cs                                                                                                                                                                    | C#            |         35 |          0 |          8 |         43 |
| d:\FULearning\fall24\2_PRN231\2_PRN231\eShoep\src\Services\Identity\Identity.API\Properties\launchSettings.json                                                                                                                                                | JSON          |         23 |          0 |          0 |         23 |
| d:\FULearning\fall24\2_PRN231\2_PRN231\eShoep\src\Services\Identity\Identity.API\SeedData.cs                                                                                                                                                                   | C#            |         71 |          0 |          6 |         77 |
| d:\FULearning\fall24\2_PRN231\2_PRN231\eShoep\src\Services\Identity\Identity.API\Services\CustomProfileService.cs                                                                                                                                              | C#            |         26 |          0 |          6 |         32 |
| d:\FULearning\fall24\2_PRN231\2_PRN231\eShoep\src\Services\Identity\Identity.API\appsettings.json                                                                                                                                                              | JSON          |         16 |          0 |          0 |         16 |
| d:\FULearning\fall24\2_PRN231\2_PRN231\eShoep\src\Services\Identity\Identity.API\bin\Debug\net8.0\Identity.API.deps.json                                                                                                                                       | JSON          |      1,731 |          0 |          0 |      1,731 |
| d:\FULearning\fall24\2_PRN231\2_PRN231\eShoep\src\Services\Identity\Identity.API\bin\Debug\net8.0\Identity.API.runtimeconfig.json                                                                                                                              | JSON          |         20 |          0 |          0 |         20 |
| d:\FULearning\fall24\2_PRN231\2_PRN231\eShoep\src\Services\Identity\Identity.API\bin\Debug\net8.0\Identity.API.staticwebassets.runtime.CT.json                                                                                                                 | JSON          |          1 |          0 |          0 |          1 |
| d:\FULearning\fall24\2_PRN231\2_PRN231\eShoep\src\Services\Identity\Identity.API\bin\Debug\net8.0\Identity.API.staticwebassets.runtime.json                                                                                                                    | JSON          |          1 |          0 |          0 |          1 |
| d:\FULearning\fall24\2_PRN231\2_PRN231\eShoep\src\Services\Identity\Identity.API\bin\Debug\net8.0\appsettings.json                                                                                                                                             | JSON          |         16 |          0 |          0 |         16 |
| d:\FULearning\fall24\2_PRN231\2_PRN231\eShoep\src\Services\Identity\Identity.API\buildschema.bat                                                                                                                                                               | Batch         |          2 |          0 |          2 |          4 |
| d:\FULearning\fall24\2_PRN231\2_PRN231\eShoep\src\Services\Identity\Identity.API\buildschema.sh                                                                                                                                                                | Shell Script  |          2 |          1 |          3 |          6 |
| d:\FULearning\fall24\2_PRN231\2_PRN231\eShoep\src\Services\Identity\Identity.API\obj\Debug\net8.0\.NETCoreApp,Version=v8.0.AssemblyAttributes.cs                                                                                                               | C#            |          3 |          1 |          1 |          5 |
| d:\FULearning\fall24\2_PRN231\2_PRN231\eShoep\src\Services\Identity\Identity.API\obj\Debug\net8.0\Identity.API.AssemblyInfo.cs                                                                                                                                 | C#            |         11 |          9 |          5 |         25 |
| d:\FULearning\fall24\2_PRN231\2_PRN231\eShoep\src\Services\Identity\Identity.API\obj\Debug\net8.0\Identity.API.GeneratedMSBuildEditorConfig.editorconfig                                                                                                       | Properties    |        100 |          0 |         28 |        128 |
| d:\FULearning\fall24\2_PRN231\2_PRN231\eShoep\src\Services\Identity\Identity.API\obj\Debug\net8.0\Identity.API.GlobalUsings.g.cs                                                                                                                               | C#            |         16 |          1 |          1 |         18 |
| d:\FULearning\fall24\2_PRN231\2_PRN231\eShoep\src\Services\Identity\Identity.API\obj\Debug\net8.0\Identity.API.MvcApplicationPartsAssemblyInfo.cs                                                                                                              | C#            |          3 |          9 |          5 |         17 |
| d:\FULearning\fall24\2_PRN231\2_PRN231\eShoep\src\Services\Identity\Identity.API\obj\Debug\net8.0\Identity.API.RazorAssemblyInfo.cs                                                                                                                            | C#            |          4 |          9 |          5 |         18 |
| d:\FULearning\fall24\2_PRN231\2_PRN231\eShoep\src\Services\Identity\Identity.API\obj\Debug\net8.0\Identity.API.sourcelink.json                                                                                                                                 | JSON          |          1 |          0 |          0 |          1 |
| d:\FULearning\fall24\2_PRN231\2_PRN231\eShoep\src\Services\Identity\Identity.API\obj\Debug\net8.0\staticwebassets.build.json                                                                                                                                   | JSON          |      2,072 |          0 |          0 |      2,072 |
| d:\FULearning\fall24\2_PRN231\2_PRN231\eShoep\src\Services\Identity\Identity.API\obj\Debug\net8.0\staticwebassets.development.json                                                                                                                             | JSON          |          1 |          0 |          0 |          1 |
| d:\FULearning\fall24\2_PRN231\2_PRN231\eShoep\src\Services\Identity\Identity.API\obj\Debug\net8.0\staticwebassets.pack.json                                                                                                                                    | JSON          |        213 |          0 |          0 |        213 |
| d:\FULearning\fall24\2_PRN231\2_PRN231\eShoep\src\Services\Identity\Identity.API\obj\Debug\net8.0\staticwebassets\msbuild.Identity.API.Microsoft.AspNetCore.StaticWebAssets.props                                                                              | XML           |        772 |          0 |          0 |        772 |
| d:\FULearning\fall24\2_PRN231\2_PRN231\eShoep\src\Services\Identity\Identity.API\obj\Debug\net8.0\staticwebassets\msbuild.build.Identity.API.props                                                                                                             | XML           |          3 |          0 |          0 |          3 |
| d:\FULearning\fall24\2_PRN231\2_PRN231\eShoep\src\Services\Identity\Identity.API\obj\Debug\net8.0\staticwebassets\msbuild.buildMultiTargeting.Identity.API.props                                                                                               | XML           |          3 |          0 |          0 |          3 |
| d:\FULearning\fall24\2_PRN231\2_PRN231\eShoep\src\Services\Identity\Identity.API\obj\Debug\net8.0\staticwebassets\msbuild.buildTransitive.Identity.API.props                                                                                                   | XML           |          3 |          0 |          0 |          3 |
| d:\FULearning\fall24\2_PRN231\2_PRN231\eShoep\src\Services\Identity\Identity.API\obj\Identity.API.csproj.nuget.dgspec.json                                                                                                                                     | JSON          |        118 |          0 |          0 |        118 |
| d:\FULearning\fall24\2_PRN231\2_PRN231\eShoep\src\Services\Identity\Identity.API\obj\Identity.API.csproj.nuget.g.props                                                                                                                                         | XML           |         26 |          0 |          0 |         26 |
| d:\FULearning\fall24\2_PRN231\2_PRN231\eShoep\src\Services\Identity\Identity.API\obj\Identity.API.csproj.nuget.g.targets                                                                                                                                       | XML           |         12 |          0 |          0 |         12 |
| d:\FULearning\fall24\2_PRN231\2_PRN231\eShoep\src\Services\Identity\Identity.API\obj\project.assets.json                                                                                                                                                       | JSON          |      4,482 |          0 |          0 |      4,482 |
| d:\FULearning\fall24\2_PRN231\2_PRN231\eShoep\src\Services\Identity\Identity.API\obj\project.packagespec.json                                                                                                                                                  | JSON          |          1 |          0 |          0 |          1 |
| d:\FULearning\fall24\2_PRN231\2_PRN231\eShoep\src\Services\Identity\Identity.API\wwwroot\css\site.css                                                                                                                                                          | CSS           |         34 |          0 |          9 |         43 |
| d:\FULearning\fall24\2_PRN231\2_PRN231\eShoep\src\Services\Identity\Identity.API\wwwroot\css\site.min.css                                                                                                                                                      | CSS           |          1 |          0 |          0 |          1 |
| d:\FULearning\fall24\2_PRN231\2_PRN231\eShoep\src\Services\Identity\Identity.API\wwwroot\css\site.scss                                                                                                                                                         | SCSS          |         42 |          0 |          9 |         51 |
| d:\FULearning\fall24\2_PRN231\2_PRN231\eShoep\src\Services\Identity\Identity.API\wwwroot\duende-logo.svg                                                                                                                                                       | XML           |         17 |          0 |          0 |         17 |
| d:\FULearning\fall24\2_PRN231\2_PRN231\eShoep\src\Services\Identity\Identity.API\wwwroot\js\signin-redirect.js                                                                                                                                                 | JavaScript    |          1 |          0 |          1 |          2 |
| d:\FULearning\fall24\2_PRN231\2_PRN231\eShoep\src\Services\Identity\Identity.API\wwwroot\js\signout-redirect.js                                                                                                                                                | JavaScript    |          6 |          0 |          1 |          7 |
| d:\FULearning\fall24\2_PRN231\2_PRN231\eShoep\src\Services\Identity\Identity.API\wwwroot\lib\bootstrap4-glyphicons\css\bootstrap-glyphicons.css                                                                                                                | CSS           |        803 |          5 |        265 |      1,073 |
| d:\FULearning\fall24\2_PRN231\2_PRN231\eShoep\src\Services\Identity\Identity.API\wwwroot\lib\bootstrap4-glyphicons\css\bootstrap-glyphicons.min.css                                                                                                            | CSS           |          1 |          5 |          0 |          6 |
| d:\FULearning\fall24\2_PRN231\2_PRN231\eShoep\src\Services\Identity\Identity.API\wwwroot\lib\bootstrap4-glyphicons\fonts\glyphicons\glyphicons-halflings-regular.svg                                                                                           | XML           |        543 |          0 |          0 |        543 |
| d:\FULearning\fall24\2_PRN231\2_PRN231\eShoep\src\Services\Identity\Identity.API\wwwroot\lib\bootstrap4-glyphicons\maps\glyphicons-fontawesome.css                                                                                                             | CSS           |      2,945 |          2 |        942 |      3,889 |
| d:\FULearning\fall24\2_PRN231\2_PRN231\eShoep\src\Services\Identity\Identity.API\wwwroot\lib\bootstrap4-glyphicons\maps\glyphicons-fontawesome.less                                                                                                            | Less          |      4,295 |          2 |        943 |      5,240 |
| d:\FULearning\fall24\2_PRN231\2_PRN231\eShoep\src\Services\Identity\Identity.API\wwwroot\lib\bootstrap4-glyphicons\maps\glyphicons-fontawesome.min.css                                                                                                         | CSS           |          1 |          0 |          0 |          1 |
| d:\FULearning\fall24\2_PRN231\2_PRN231\eShoep\src\Services\Identity\Identity.API\wwwroot\lib\bootstrap\README.md                                                                                                                                               | Markdown      |        173 |          0 |         52 |        225 |
| d:\FULearning\fall24\2_PRN231\2_PRN231\eShoep\src\Services\Identity\Identity.API\wwwroot\lib\bootstrap\dist\css\bootstrap-grid.css                                                                                                                             | CSS           |      3,659 |          7 |        919 |      4,585 |
| d:\FULearning\fall24\2_PRN231\2_PRN231\eShoep\src\Services\Identity\Identity.API\wwwroot\lib\bootstrap\dist\css\bootstrap-grid.min.css                                                                                                                         | CSS           |          1 |          6 |          0 |          7 |
| d:\FULearning\fall24\2_PRN231\2_PRN231\eShoep\src\Services\Identity\Identity.API\wwwroot\lib\bootstrap\dist\css\bootstrap-reboot.css                                                                                                                           | CSS           |        263 |          8 |         56 |        327 |
| d:\FULearning\fall24\2_PRN231\2_PRN231\eShoep\src\Services\Identity\Identity.API\wwwroot\lib\bootstrap\dist\css\bootstrap-reboot.min.css                                                                                                                       | CSS           |          1 |          7 |          0 |          8 |
| d:\FULearning\fall24\2_PRN231\2_PRN231\eShoep\src\Services\Identity\Identity.API\wwwroot\lib\bootstrap\dist\css\bootstrap.css                                                                                                                                  | CSS           |      9,052 |          7 |      2,027 |     11,086 |
| d:\FULearning\fall24\2_PRN231\2_PRN231\eShoep\src\Services\Identity\Identity.API\wwwroot\lib\bootstrap\dist\css\bootstrap.min.css                                                                                                                              | CSS           |          1 |          6 |          0 |          7 |
| d:\FULearning\fall24\2_PRN231\2_PRN231\eShoep\src\Services\Identity\Identity.API\wwwroot\lib\bootstrap\dist\js\bootstrap.bundle.js                                                                                                                             | JavaScript    |      4,496 |      1,361 |      1,179 |      7,036 |
| d:\FULearning\fall24\2_PRN231\2_PRN231\eShoep\src\Services\Identity\Identity.API\wwwroot\lib\bootstrap\dist\js\bootstrap.bundle.min.js                                                                                                                         | JavaScript    |          1 |          6 |          0 |          7 |
| d:\FULearning\fall24\2_PRN231\2_PRN231\eShoep\src\Services\Identity\Identity.API\wwwroot\lib\bootstrap\dist\js\bootstrap.js                                                                                                                                    | JavaScript    |      3,254 |        311 |        858 |      4,423 |
| d:\FULearning\fall24\2_PRN231\2_PRN231\eShoep\src\Services\Identity\Identity.API\wwwroot\lib\bootstrap\dist\js\bootstrap.min.js                                                                                                                                | JavaScript    |          1 |          6 |          0 |          7 |
| d:\FULearning\fall24\2_PRN231\2_PRN231\eShoep\src\Services\Identity\Identity.API\wwwroot\lib\jquery\README.md                                                                                                                                                  | Markdown      |         47 |          0 |         24 |         71 |
| d:\FULearning\fall24\2_PRN231\2_PRN231\eShoep\src\Services\Identity\Identity.API\wwwroot\lib\jquery\dist\jquery.js                                                                                                                                             | JavaScript    |      6,917 |      1,890 |      2,031 |     10,838 |
| d:\FULearning\fall24\2_PRN231\2_PRN231\eShoep\src\Services\Identity\Identity.API\wwwroot\lib\jquery\dist\jquery.min.js                                                                                                                                         | JavaScript    |          1 |          1 |          1 |          3 |
| d:\FULearning\fall24\2_PRN231\2_PRN231\eShoep\src\Services\Identity\Identity.API\wwwroot\lib\jquery\dist\jquery.slim.js                                                                                                                                        | JavaScript    |      5,530 |      1,561 |      1,664 |      8,755 |
| d:\FULearning\fall24\2_PRN231\2_PRN231\eShoep\src\Services\Identity\Identity.API\wwwroot\lib\jquery\dist\jquery.slim.min.js                                                                                                                                    | JavaScript    |          1 |          1 |          1 |          3 |
| d:\FULearning\fall24\2_PRN231\2_PRN231\eShoep\src\Services\Promotion\Promotion.API\Controllers\CouponController.cs                                                                                                                                             | C#            |         44 |          5 |         11 |         60 |
| d:\FULearning\fall24\2_PRN231\2_PRN231\eShoep\src\Services\Promotion\Promotion.API\Models\Coupon.cs                                                                                                                                                            | C#            |          9 |          0 |          1 |         10 |
| d:\FULearning\fall24\2_PRN231\2_PRN231\eShoep\src\Services\Promotion\Promotion.API\Models\CouponType.cs                                                                                                                                                        | C#            |          6 |          0 |          1 |          7 |
| d:\FULearning\fall24\2_PRN231\2_PRN231\eShoep\src\Services\Promotion\Promotion.API\Program.cs                                                                                                                                                                  | C#            |         17 |          0 |          4 |         21 |
| d:\FULearning\fall24\2_PRN231\2_PRN231\eShoep\src\Services\Promotion\Promotion.API\Promotion.API.csproj                                                                                                                                                        | XML           |         20 |          0 |          6 |         26 |
| d:\FULearning\fall24\2_PRN231\2_PRN231\eShoep\src\Services\Promotion\Promotion.API\Properties\launchSettings.json                                                                                                                                              | JSON          |         38 |          0 |          1 |         39 |
| d:\FULearning\fall24\2_PRN231\2_PRN231\eShoep\src\Services\Promotion\Promotion.API\Services\CouponService.cs                                                                                                                                                   | C#            |         34 |          0 |          6 |         40 |
| d:\FULearning\fall24\2_PRN231\2_PRN231\eShoep\src\Services\Promotion\Promotion.API\appsettings.Development.json                                                                                                                                                | JSON          |          8 |          0 |          1 |          9 |
| d:\FULearning\fall24\2_PRN231\2_PRN231\eShoep\src\Services\Promotion\Promotion.API\appsettings.json                                                                                                                                                            | JSON          |         12 |          0 |          1 |         13 |
| d:\FULearning\fall24\2_PRN231\2_PRN231\eShoep\src\Services\Promotion\Promotion.API\bin\Debug\net8.0\Promotion.API.deps.json                                                                                                                                    | JSON          |        330 |          0 |          0 |        330 |
| d:\FULearning\fall24\2_PRN231\2_PRN231\eShoep\src\Services\Promotion\Promotion.API\bin\Debug\net8.0\Promotion.API.runtimeconfig.json                                                                                                                           | JSON          |         19 |          0 |          0 |         19 |
| d:\FULearning\fall24\2_PRN231\2_PRN231\eShoep\src\Services\Promotion\Promotion.API\bin\Debug\net8.0\appsettings.Development.json                                                                                                                               | JSON          |          8 |          0 |          1 |          9 |
| d:\FULearning\fall24\2_PRN231\2_PRN231\eShoep\src\Services\Promotion\Promotion.API\bin\Debug\net8.0\appsettings.json                                                                                                                                           | JSON          |         12 |          0 |          1 |         13 |
| d:\FULearning\fall24\2_PRN231\2_PRN231\eShoep\src\Services\Promotion\Promotion.API\obj\.store\dotnet-aspnet-codegenerator\8.0.6\dotnet-aspnet-codegenerator\8.0.6\README.md                                                                                    | Markdown      |          8 |          0 |          5 |         13 |
| d:\FULearning\fall24\2_PRN231\2_PRN231\eShoep\src\Services\Promotion\Promotion.API\obj\.store\dotnet-aspnet-codegenerator\8.0.6\dotnet-aspnet-codegenerator\8.0.6\dotnet-aspnet-codegenerator.nuspec                                                           | XML           |         22 |          0 |          0 |         22 |
| d:\FULearning\fall24\2_PRN231\2_PRN231\eShoep\src\Services\Promotion\Promotion.API\obj\.store\dotnet-aspnet-codegenerator\8.0.6\dotnet-aspnet-codegenerator\8.0.6\tools\net8.0\any\DotnetToolSettings.xml                                                      | XML           |          6 |          0 |          0 |          6 |
| d:\FULearning\fall24\2_PRN231\2_PRN231\eShoep\src\Services\Promotion\Promotion.API\obj\.store\dotnet-aspnet-codegenerator\8.0.6\dotnet-aspnet-codegenerator\8.0.6\tools\net8.0\any\Microsoft.DotNet.Scaffolding.Shared.xml                                     | XML           |        987 |          0 |          4 |        991 |
| d:\FULearning\fall24\2_PRN231\2_PRN231\eShoep\src\Services\Promotion\Promotion.API\obj\.store\dotnet-aspnet-codegenerator\8.0.6\dotnet-aspnet-codegenerator\8.0.6\tools\net8.0\any\buildMultiTargeting\microsoft.visualstudio.web.codegeneration.tools.targets | XML           |         23 |         15 |          8 |         46 |
| d:\FULearning\fall24\2_PRN231\2_PRN231\eShoep\src\Services\Promotion\Promotion.API\obj\.store\dotnet-aspnet-codegenerator\8.0.6\dotnet-aspnet-codegenerator\8.0.6\tools\net8.0\any\build\microsoft.visualstudio.web.codegeneration.tools.targets               | XML           |         38 |         12 |          7 |         57 |
| d:\FULearning\fall24\2_PRN231\2_PRN231\eShoep\src\Services\Promotion\Promotion.API\obj\.store\dotnet-aspnet-codegenerator\8.0.6\dotnet-aspnet-codegenerator\8.0.6\tools\net8.0\any\dotnet-aspnet-codegenerator.deps.json                                       | JSON          |      1,995 |          0 |          0 |      1,995 |
| d:\FULearning\fall24\2_PRN231\2_PRN231\eShoep\src\Services\Promotion\Promotion.API\obj\.store\dotnet-aspnet-codegenerator\8.0.6\dotnet-aspnet-codegenerator\8.0.6\tools\net8.0\any\dotnet-aspnet-codegenerator.runtimeconfig.json                              | JSON          |         13 |          0 |          0 |         13 |
| d:\FULearning\fall24\2_PRN231\2_PRN231\eShoep\src\Services\Promotion\Promotion.API\obj\.store\dotnet-aspnet-codegenerator\8.0.6\dotnet-aspnet-codegenerator\8.0.6\tools\net8.0\any\dotnet-aspnet-codegenerator.xml                                             | XML           |        255 |          0 |          1 |        256 |
| d:\FULearning\fall24\2_PRN231\2_PRN231\eShoep\src\Services\Promotion\Promotion.API\obj\.store\dotnet-aspnet-codegenerator\8.0.6\project.assets.json                                                                                                            | JSON          |        204 |          0 |          0 |        204 |
| d:\FULearning\fall24\2_PRN231\2_PRN231\eShoep\src\Services\Promotion\Promotion.API\obj\Debug\net8.0\.NETCoreApp,Version=v8.0.AssemblyAttributes.cs                                                                                                             | C#            |          3 |          1 |          1 |          5 |
| d:\FULearning\fall24\2_PRN231\2_PRN231\eShoep\src\Services\Promotion\Promotion.API\obj\Debug\net8.0\Coupon.cs                                                                                                                                                  | C#            |      1,798 |         60 |        185 |      2,043 |
| d:\FULearning\fall24\2_PRN231\2_PRN231\eShoep\src\Services\Promotion\Promotion.API\obj\Debug\net8.0\CouponGrpc.cs                                                                                                                                              | C#            |        248 |         45 |         17 |        310 |
| d:\FULearning\fall24\2_PRN231\2_PRN231\eShoep\src\Services\Promotion\Promotion.API\obj\Debug\net8.0\Promotion.API.AssemblyInfo.cs                                                                                                                              | C#            |          9 |          9 |          5 |         23 |
| d:\FULearning\fall24\2_PRN231\2_PRN231\eShoep\src\Services\Promotion\Promotion.API\obj\Debug\net8.0\Promotion.API.GeneratedMSBuildEditorConfig.editorconfig                                                                                                    | Properties    |         19 |          0 |          1 |         20 |
| d:\FULearning\fall24\2_PRN231\2_PRN231\eShoep\src\Services\Promotion\Promotion.API\obj\Debug\net8.0\Promotion.API.GlobalUsings.g.cs                                                                                                                            | C#            |         16 |          1 |          1 |         18 |
| d:\FULearning\fall24\2_PRN231\2_PRN231\eShoep\src\Services\Promotion\Promotion.API\obj\Debug\net8.0\Promotion.API.sourcelink.json                                                                                                                              | JSON          |          1 |          0 |          0 |          1 |
| d:\FULearning\fall24\2_PRN231\2_PRN231\eShoep\src\Services\Promotion\Promotion.API\obj\Debug\net8.0\staticwebassets.build.json                                                                                                                                 | JSON          |         11 |          0 |          0 |         11 |
| d:\FULearning\fall24\2_PRN231\2_PRN231\eShoep\src\Services\Promotion\Promotion.API\obj\Debug\net8.0\staticwebassets\msbuild.build.Promotion.API.props                                                                                                          | XML           |          3 |          0 |          0 |          3 |
| d:\FULearning\fall24\2_PRN231\2_PRN231\eShoep\src\Services\Promotion\Promotion.API\obj\Debug\net8.0\staticwebassets\msbuild.buildMultiTargeting.Promotion.API.props                                                                                            | XML           |          3 |          0 |          0 |          3 |
| d:\FULearning\fall24\2_PRN231\2_PRN231\eShoep\src\Services\Promotion\Promotion.API\obj\Debug\net8.0\staticwebassets\msbuild.buildTransitive.Promotion.API.props                                                                                                | XML           |          3 |          0 |          0 |          3 |
| d:\FULearning\fall24\2_PRN231\2_PRN231\eShoep\src\Services\Promotion\Promotion.API\obj\Promotion.API.csproj.codegeneration.targets                                                                                                                             | XML           |          8 |          4 |          2 |         14 |
| d:\FULearning\fall24\2_PRN231\2_PRN231\eShoep\src\Services\Promotion\Promotion.API\obj\Promotion.API.csproj.nuget.dgspec.json                                                                                                                                  | JSON          |         82 |          0 |          0 |         82 |
| d:\FULearning\fall24\2_PRN231\2_PRN231\eShoep\src\Services\Promotion\Promotion.API\obj\Promotion.API.csproj.nuget.g.props                                                                                                                                      | XML           |         21 |          0 |          0 |         21 |
| d:\FULearning\fall24\2_PRN231\2_PRN231\eShoep\src\Services\Promotion\Promotion.API\obj\Promotion.API.csproj.nuget.g.targets                                                                                                                                    | XML           |          6 |          0 |          0 |          6 |
| d:\FULearning\fall24\2_PRN231\2_PRN231\eShoep\src\Services\Promotion\Promotion.API\obj\project.assets.json                                                                                                                                                     | JSON          |        871 |          0 |          0 |        871 |
| d:\FULearning\fall24\2_PRN231\2_PRN231\eShoep\src\Services\Promotion\Promotion.API\obj\project.packagespec.json                                                                                                                                                | JSON          |          1 |          0 |          0 |          1 |
| d:\FULearning\fall24\2_PRN231\2_PRN231\eShoep\src\Services\Promotion\Promotion.API\Data\Extentions.cs                                                                                                                                                         | C#            |         12 |          0 |          3 |         15 |
| d:\FULearning\fall24\2_PRN231\2_PRN231\eShoep\src\Services\Promotion\Promotion.API\Data\PromotionContext.cs                                                                                                                                                   | C#            |         36 |          0 |          6 |         42 |
| d:\FULearning\fall24\2_PRN231\2_PRN231\eShoep\src\Services\Promotion\Promotion.API\Dockerfile                                                                                                                                                                 | Docker        |         20 |          1 |          4 |         25 |
| d:\FULearning\fall24\2_PRN231\2_PRN231\eShoep\src\Services\Promotion\Promotion.API\Migrations\20241025112941_Init.Designer.cs                                                                                                                                 | C#            |         55 |          2 |         11 |         68 |
| d:\FULearning\fall24\2_PRN231\2_PRN231\eShoep\src\Services\Promotion\Promotion.API\Migrations\20241025112941_Init.cs                                                                                                                                          | C#            |         41 |          3 |          6 |         50 |
| d:\FULearning\fall24\2_PRN231\2_PRN231\eShoep\src\Services\Promotion\Promotion.API\Migrations\PromotionContextModelSnapshot.cs                                                                                                                                | C#            |         53 |          1 |         11 |         65 |
| d:\FULearning\fall24\2_PRN231\2_PRN231\eShoep\src\Services\Promotion\Promotion.API\Models\Coupon.cs                                                                                                                                                           | C#            |          9 |          0 |          1 |         10 |
